order_id,late_delivery_risk,late_delivery_probability,order_date,shipping_date,revenue,order_profit_per_order,delivery_timing_group,shipping_mode,order_region,market,customer_segment,days_for_shipping_real,days_for_shipment_scheduled,shipping_delay_days,quantity,unique_products,unique_categories,order_lines,loss_flag,prediction_030,prediction_040,risk_level,prediction_result_030,prediction_result_040,revenue_at_risk_030,revenue_at_risk_040,profit_at_risk_030,profit_at_risk_040,recommended_action
63091,0,0.3810878276213429,2017-07-09 23:14:00,2017-07-11 23:14:00,173.9900055,-278.3900146,Early,Standard Class,Western Europe,Europe,Consumer,2,4,-2,1,1,1,1,1,1,0,Watch,False Positive,True Negative,173.9900055,0.0,-278.3900146,0.0,Review if Capacity Allows
63092,0,0.3810590561189162,2017-07-09 23:35:00,2017-07-12 23:35:00,175.9900055,66.87999725,Early,Standard Class,Western Europe,Europe,Consumer,3,4,-1,1,1,1,1,0,1,0,Watch,False Positive,True Negative,175.9900055,0.0,66.87999725,0.0,Review if Capacity Allows
63094,1,0.7682648381736429,2017-07-10 00:17:00,2017-07-15 00:17:00,107.8899994,37.75999832,Late,Second Class,Western Europe,Europe,Consumer,5,2,3,1,1,1,1,0,1,1,Critical,True Positive,True Positive,107.8899994,107.8899994,37.75999832,37.75999832,Immediate Intervention
63095,1,0.6776425822528126,2017-07-10 00:38:00,2017-07-16 00:38:00,596.32001496,261.33999442000004,Late,Second Class,Western Europe,Europe,Consumer,6,2,4,8,4,4,4,0,1,1,High,True Positive,True Positive,596.32001496,596.32001496,261.33999442000004,261.33999442000004,Priority Review
63096,0,0.6480835049922579,2017-07-10 00:59:00,2017-07-12 00:59:00,1001.9200287,293.49999626,On Time,Second Class,Southern Europe,Europe,Consumer,2,2,0,8,3,3,4,0,1,1,High,False Positive,False Positive,1001.9200287,1001.9200287,293.49999626,293.49999626,Priority Review
63097,0,0.3768414413210294,2017-07-10 01:20:00,2017-07-13 01:20:00,217.5,73.51999664,Early,Standard Class,Western Europe,Europe,Corporate,3,4,-1,5,1,1,1,0,1,0,Watch,False Positive,True Negative,217.5,0.0,73.51999664,0.0,Review if Capacity Allows
63098,0,0.3800416270866047,2017-07-10 01:41:00,2017-07-14 01:41:00,110.4899979,38.66999817,On Time,Standard Class,Western Europe,Europe,Consumer,4,4,0,1,1,1,1,0,1,0,Watch,False Positive,True Negative,110.4899979,0.0,38.66999817,0.0,Review if Capacity Allows
63099,1,0.2629769941694592,2017-07-10 02:02:00,2017-07-15 02:02:00,440.63999176,88.529999731,Late,Standard Class,Southern Europe,Europe,Home Office,5,4,1,6,3,3,3,0,0,0,Low,False Negative,False Negative,0.0,0.0,0.0,0.0,Standard Monitoring
63100,1,0.3809414127946222,2017-07-10 02:23:00,2017-07-16 02:23:00,52.18999863,25.04999924,Late,Standard Class,Western Europe,Europe,Consumer,6,4,2,1,1,1,1,0,1,0,Watch,True Positive,False Negative,52.18999863,0.0,25.04999924,0.0,Review if Capacity Allows
63101,0,0.3838464657092694,2017-07-10 02:44:00,2017-07-12 02:44:00,742.180008,103.959999565,Early,Standard Class,Western Europe,Europe,Home Office,2,4,-2,7,3,3,3,0,1,0,Watch,False Positive,True Negative,742.180008,0.0,103.959999565,0.0,Review if Capacity Allows
63103,0,0.3861262528275006,2017-07-10 03:26:00,2017-07-14 03:26:00,614.680008,130.67999644,On Time,Standard Class,Western Europe,Europe,Home Office,4,4,0,5,3,3,3,0,1,0,Watch,False Positive,True Negative,614.680008,0.0,130.67999644,0.0,Review if Capacity Allows
63104,1,0.3814595957862567,2017-07-10 03:47:00,2017-07-15 03:47:00,254.57999802,56.720000271,Late,Standard Class,Western Europe,Europe,Consumer,5,4,1,4,2,2,3,0,1,0,Watch,True Positive,False Negative,254.57999802,0.0,56.720000271,0.0,Review if Capacity Allows
63106,0,0.4186456312177264,2017-07-10 04:29:00,2017-07-10 16:29:00,1119.93999476,239.880005841,On Time,Same Day,Southern Europe,Europe,Consumer,0,0,0,11,3,3,5,0,1,1,High,False Positive,False Positive,1119.93999476,1119.93999476,239.880005841,239.880005841,Priority Review
63107,1,0.7515075917597844,2017-07-10 04:50:00,2017-07-13 04:50:00,413.980011,113.59999847,Late,Second Class,Southern Europe,Europe,Consumer,3,2,1,2,2,2,2,0,1,1,Critical,True Positive,True Positive,413.980011,413.980011,113.59999847,113.59999847,Immediate Intervention
63108,1,0.755030912199019,2017-07-10 05:11:00,2017-07-14 05:11:00,650.95000456,162.450000378,Late,Second Class,Southern Europe,Europe,Consumer,4,2,2,3,3,3,3,0,1,1,Critical,True Positive,True Positive,650.95000456,650.95000456,162.450000378,162.450000378,Immediate Intervention
63109,1,0.7704068735367089,2017-07-10 05:32:00,2017-07-15 05:32:00,669.4100037000001,71.30999756,Late,Second Class,Western Europe,Europe,Consumer,5,2,3,6,4,4,4,0,1,1,Critical,True Positive,True Positive,669.4100037000001,669.4100037000001,71.30999756,71.30999756,Immediate Intervention
63111,0,0.2842297497058138,2017-07-10 06:14:00,2017-07-12 06:14:00,187.27999878,89.89999962,Early,Standard Class,Western Europe,Europe,Home Office,2,4,-2,3,3,3,3,0,0,0,Low,True Negative,True Negative,0.0,0.0,0.0,0.0,Standard Monitoring
