model,threshold,accuracy,precision,recall,f1,predicted_late_orders
Logistic Regression,0.3,0.604440726940917,0.5922754600109309,0.899557277255119,0.7142700208722399,10978
Logistic Regression,0.4,0.697513497072466,0.8186274509803921,0.5776148312119536,0.677319922128488,5100
Logistic Regression,0.5,0.6925709071553494,0.8476315215018555,0.5372163807415606,0.6576340079600305,4581
Logistic Regression,0.6,0.6925709071553494,0.8476315215018555,0.5372163807415606,0.6576340079600305,4581
Logistic Regression,0.7,0.6743973842293361,0.8790530108080288,0.472606530160487,0.6147201727550837,3886
Random Forest,0.3,0.5719717131777051,0.5657429487706603,0.9518539014941892,0.7096807468152045,12161
Random Forest,0.4,0.6592654550984716,0.6943540399037781,0.6788876591034865,0.6865337530605107,7067
Random Forest,0.5,0.6902897118089879,0.8302281766799247,0.548699501936912,0.6607246980424824,4777
Random Forest,0.6,0.6912021899475325,0.8510308135668366,0.5311289429994466,0.6540591191753983,4511
Random Forest,0.7,0.6737130256254277,0.874904263466939,0.4741283895960155,0.6149842978914312,3917
HistGradientBoosting,0.3,0.5595772184624743,0.5564287959761082,0.9795240730492529,0.7097032878909383,12724
HistGradientBoosting,0.4,0.6296099155957722,0.6311922520316152,0.7844493635860542,0.6995250138794645,8983
HistGradientBoosting,0.5,0.6871720781689605,0.8126506024096386,0.5599059214167128,0.6630078636959371,4980
HistGradientBoosting,0.6,0.6921907079309558,0.8483786152497809,0.5356945213060321,0.6567164179104478,4564
HistGradientBoosting,0.7,0.6807847311991484,0.8670058139534884,0.49515771997786384,0.6303275801338499,4128
